Movie,Year,Studio,Production_Budget,Domestic_Gross,Foreign_Gross,Worldwide_Gross,ROI,Profit_USD_Millions,International_Share,Genres,Runtime_Minutes,IMDb_Rating,IMDb_Num_Votes
Pirates of the Caribbean: On Stranger Tides,2011,BV,410600000.0,241063875.0,804600000.0,1045663875.0,1.5466728567949342,635.063875,0.7694633230013803,"Action,Adventure,Fantasy",136.0,6.6,447624
Avengers: Age of Ultron,2015,BV,330600000.0,459005868.0,946400000.0,1403013963.0,3.2438413883847548,1072.413963,0.673399778347873,"Action,Adventure,Sci-Fi",141.0,7.3,665594
Avengers: Infinity War,2018,BV,300000000.0,678815482.0,1369.5,2048134200.0,5.827114,1748.1342,2.017480852123483e-06,"Action,Adventure,Sci-Fi",149.0,8.5,670926
Justice League,2017,WB,300000000.0,229024295.0,428900000.0,655945209.0,1.18648403,355.945209,0.6518987112339422,"Action,Adventure,Fantasy",120.0,6.5,329135
Spectre,2015,Sony,300000000.0,200074175.0,680600000.0,879620923.0,1.9320697433333331,579.620923,0.7728170296352791,"Action,Adventure,Thriller",148.0,6.8,352504
The Dark Knight Rises,2012,WB,275000000.0,448139099.0,636800000.0,1084439099.0,2.9434149054545453,809.439099,0.5869453876138719,"Action,Thriller",164.0,8.4,1387769
Solo: A Star Wars Story,2018,BV,275000000.0,213767512.0,179200000.0,393151347.0,0.4296412618181818,118.151347,0.4560173411994425,"Action,Adventure,Fantasy",135.0,7.0,226243
The Lone Ranger,2013,BV,275000000.0,89302115.0,171200000.0,260002115.0,-0.0545377636363636,-14.997885,0.6571923609910039,"Action,Adventure,Western",150.0,6.4,208827
John Carter,2012,BV,275000000.0,73058679.0,211100000.0,282778100.0,0.028284,7.7781,0.7428947823902292,"Action,Adventure,Sci-Fi",132.0,6.6,241792
Tangled,2010,BV,260000000.0,200821936.0,391000000.0,586477240.0,1.2556816923076923,326.47724,0.6606716923044231,"Adventure,Animation,Comedy",100.0,7.8,366366
Captain America: Civil War,2016,BV,250000000.0,408084349.0,745200000.0,1140069413.0,3.560277652,890.069413,0.6461546110862899,"Action,Adventure,Sci-Fi",147.0,7.8,583507
Batman v Superman: Dawn of Justice,2016,WB,250000000.0,330360194.0,543300000.0,867500281.0,2.470001124,617.500281,0.6218664919509884,"Action,Adventure,Fantasy",151.0,6.5,576909
The Hobbit: An Unexpected Journey,2012,WB (NL),250000000.0,303003568.0,718100000.0,1017003568.0,3.068014272,767.003568,0.7032587315374066,"Adventure,Family,Fantasy",169.0,7.9,719629
The Hobbit: The Desolation of Smaug,2013,WB (NL),250000000.0,258366855.0,700000000.0,960366855.0,2.84146742,710.366855,0.7304092335288452,"Adventure,Fantasy",161.0,7.8,565563
The Hobbit: The Battle of the Five Armies,2014,WB (NL),250000000.0,255119788.0,700900000.0,945577621.0,2.782310484,695.577621,0.7331438206590761,"Adventure,Fantasy",144.0,7.4,438621
The Fate of the Furious,2017,Uni.,250000000.0,225764765.0,1010.0,1234846267.0,3.939385068,984.846267,4.47366302531905e-06,"Action,Crime,Thriller",136.0,6.7,179774
Pirates of the Caribbean: Dead Men Tell No Tales,2017,BV,230000000.0,172558876.0,622300000.0,788241137.0,2.4271353782608696,558.241137,0.782906272785963,"Action,Adventure,Fantasy",129.0,6.6,228592
Man of Steel,2013,WB,225000000.0,291045518.0,377000000.0,667999518.0,1.9688867466666664,442.999518,0.5643328034422948,"Action,Adventure,Sci-Fi",143.0,7.1,647288
The Amazing Spider-Man,2012,Sony,220000000.0,262030663.0,495900000.0,757890267.0,2.444955759090909,537.890267,0.6542814853764533,"Action,Adventure,Sci-Fi",136.0,7.0,525632
Battleship,2012,Uni.,220000000.0,65233400.0,237600000.0,313477717.0,0.4248987136363636,93.477717,0.7845898107672403,"Action,Adventure,Sci-Fi",131.0,5.8,225342
Transformers: The Last Knight,2017,Par.,217000000.0,130168683.0,475300000.0,602893340.0,1.7783103225806451,385.89334,0.7850116997711011,"Action,Adventure,Sci-Fi",154.0,5.2,119007
Jurassic World,2015,Uni.,215000000.0,652270625.0,1019.4,1648854864.0,6.669092390697674,1433.854864,1.5628458001385411e-06,"Action,Adventure,Sci-Fi",124.0,7.0,539338
Transformers: Age of Extinction,2014,Par.,210000000.0,245439076.0,858600000.0,1104039076.0,4.2573289333333335,894.039076,0.7776898650279295,"Action,Adventure,Sci-Fi",165.0,5.7,283486
Robin Hood,2010,Uni.,210000000.0,105487148.0,216400000.0,322459006.0,0.5355190761904762,112.459006,0.6722853066503917,"Action,Adventure,Drama",140.0,6.6,239480
Black Panther,2018,BV,200000000.0,700059566.0,646900000.0,1348258224.0,5.74129112,1148.258224,0.4802668293310892,"Action,Adventure,Sci-Fi",134.0,7.3,516148
Incredibles 2,2018,BV,200000000.0,608581744.0,634200000.0,1242520711.0,5.212603555,1042.520711,0.5103068202134775,"Action,Adventure,Animation",118.0,7.7,203510
Rogue One: A Star Wars Story,2016,BV,200000000.0,532177324.0,523900000.0,1049102856.0,4.24551428,849.102856,0.4960810994555546,"Action,Adventure,Sci-Fi",133.0,7.8,478592
Finding Dory,2016,BV,200000000.0,486295561.0,542300000.0,1021215193.0,4.106075965,821.215193,0.5272237413437564,"Adventure,Animation,Comedy",97.0,7.3,213542
Toy Story 3,2010,BV,200000000.0,415004880.0,652000000.0,1068879522.0,4.34439761,868.879522,0.6110562493397406,"Adventure,Animation,Comedy",103.0,8.3,682218
Iron Man 3,2013,BV,200000000.0,408992272.0,805800000.0,1215392272.0,5.07696136,1015.392272,0.6633232846249124,"Action,Adventure,Sci-Fi",130.0,7.2,692794
Skyfall,2012,Sony,200000000.0,304360277.0,804200000.0,1110526981.0,4.552634905,910.526981,0.7254454418810101,"Action,Adventure,Thriller",143.0,7.8,592221
Monsters University,2013,BV,200000000.0,268488329.0,475700000.0,743588329.0,2.717941645,543.588329,0.6392199144525955,"Adventure,Animation,Comedy",104.0,7.3,291887
X-Men: Days of Future Past,2014,Fox,200000000.0,233921534.0,513900000.0,747862775.0,2.739313875,547.862775,0.6871960442904282,"Action,Adventure,Sci-Fi",132.0,8.0,620079
The Amazing Spider-Man 2,2014,Sony,200000000.0,202853933.0,506100000.0,708996336.0,2.54498168,508.996336,0.7138686682481525,"Action,Adventure,Sci-Fi",142.0,6.6,388363
Cars 2,2011,BV,200000000.0,191450875.0,370700000.0,560155383.0,1.800776915,360.155383,0.6594315093790435,"Adventure,Animation,Comedy",106.0,6.2,138914
Fantastic Beasts: The Crimes of Grindelwald,2018,WB,200000000.0,159555901.0,494100000.0,652220086.0,2.26110043,452.220086,0.7559023015689107,"Adventure,Family,Fantasy",134.0,6.6,163151
Green Lantern,2011,WB,200000000.0,116601172.0,103300000.0,219535492.0,0.09767746,19.535492,0.4697564776962625,"Action,Adventure,Sci-Fi",114.0,5.5,252281
Transformers: Dark of the Moon,2011,P/DW,195000000.0,352390543.0,771400000.0,1123790543.0,4.763028425641026,928.790543,0.686426847783146,"Action,Adventure,Sci-Fi",154.0,6.2,366409
Jack the Giant Slayer,2013,WB (NL),195000000.0,65187603.0,132500000.0,197687603.0,0.0137825794871794,2.687603,0.6702494136670776,"Adventure,Fantasy",114.0,6.3,123127
Furious 7,2015,Uni.,190000000.0,353007020.0,1163.0,1518722794.0,6.993277863157895,1328.722794,3.294541191981377e-06,"Action,Crime,Thriller",137.0,7.2,335074
Star Trek Into Darkness,2013,Par.,190000000.0,228778661.0,238600000.0,467381584.0,1.4599030736842105,277.381584,0.5105068329167899,"Action,Adventure,Sci-Fi",132.0,7.7,445535
World War Z,2013,Par.,190000000.0,202359711.0,337600000.0,531514650.0,1.7974455263157896,341.51465,0.6252318332691307,"Action,Adventure,Horror",116.0,7.0,553751
Pacific Rim,2013,WB,190000000.0,101802906.0,309200000.0,411002906.0,1.1631731894736843,221.002906,0.7523061162978736,"Action,Adventure,Sci-Fi",131.0,6.9,443667
The Good Dinosaur,2015,BV,187500000.0,123087120.0,209100000.0,333771037.0,0.7801121973333334,146.271037,0.6294645018145195,"Adventure,Animation,Comedy",93.0,6.7,91465
Brave,2012,BV,185000000.0,237282182.0,303200000.0,554606532.0,1.997873145945946,369.606532,0.5609805653130671,"Adventure,Animation,Comedy",93.0,7.1,338728
Kong: Skull Island,2017,WB,185000000.0,168052812.0,398600000.0,561072059.0,2.0328219405405403,376.072059,0.7034289631302492,"Action,Adventure,Fantasy",118.0,6.6,237720
Star Trek Beyond,2016,Par.,185000000.0,158848340.0,184600000.0,335802233.0,0.8151472054054054,150.802233,0.5374898594647451,"Action,Adventure,Sci-Fi",122.0,7.1,209844
Blade Runner 2049,2017,WB,185000000.0,92054159.0,167200000.0,259357408.0,0.4019319351351351,74.357408,0.6449269729940957,"Drama,Mystery,Sci-Fi",164.0,8.0,376241
Thor: Ragnarok,2017,BV,180000000.0,315058289.0,538900000.0,846980024.0,3.7054445777777776,666.980024,0.6310612672090358,"Action,Adventure,Comedy",130.0,7.9,482995
Maleficent,2014,BV,180000000.0,241407328.0,517100000.0,758536735.0,3.2140929722222222,578.536735,0.6817336905148529,"Action,Adventure,Family",97.0,7.0,305832
The Legend of Tarzan,2016,WB,180000000.0,126643061.0,230100000.0,348902025.0,0.9383445833333334,168.902025,0.6450020341110433,"Action,Adventure,Drama",110.0,6.3,150154
Hugo,2011,Par.,180000000.0,73864507.0,111900000.0,180047784.0,0.0002654666666666,0.047784,0.6023755657478745,"Adventure,Drama,Family",126.0,7.5,284869
Valerian and the City of a Thousand Planets,2017,STX,180000000.0,40479370.0,184700000.0,215098356.0,0.1949908666666666,35.098356,0.820234997548843,"Action,Adventure,Fantasy",137.0,6.5,139792
Jupiter Ascending,2015,WB,179000000.0,47482519.0,136600000.0,181982519.0,0.0166621173184357,2.982519,0.7420585112701549,"Action,Adventure,Sci-Fi",127.0,5.3,166327
X-Men: Apocalypse,2016,Fox,178000000.0,155442489.0,388500000.0,542537546.0,2.047963741573034,364.537546,0.7142299192589825,"Action,Adventure,Sci-Fi",144.0,7.0,356556
The Meg,2018,WB,178000000.0,145443742.0,384800000.0,529530715.0,1.9748916573033708,351.530715,0.7257039914296621,"Action,Horror,Sci-Fi",113.0,5.7,114042
Edge of Tomorrow,2014,WB,178000000.0,100206256.0,270300000.0,370541256.0,1.0816924494382023,192.541256,0.7295423373364038,"Action,Sci-Fi",113.0,7.9,546284
Inside Out,2015,BV,175000000.0,356461711.0,501100000.0,854235992.0,3.881348525714286,679.235992,0.5843311257631464,"Adventure,Animation,Comedy",95.0,8.2,536181
Spider-Man: Homecoming,2017,Sony,175000000.0,334201140.0,546000000.0,880166350.0,4.029522,705.16635,0.6203127616944464,"Action,Adventure,Sci-Fi",133.0,7.5,426302
Suicide Squad,2016,WB,175000000.0,325100054.0,421700000.0,746059887.0,3.2631993542857143,571.059887,0.564675909892208,"Action,Adventure,Fantasy",123.0,6.0,533039
Coco,2017,BV,175000000.0,209726015.0,597400000.0,798008101.0,3.5600462914285718,623.008101,0.7401570373121972,"Adventure,Animation,Comedy",105.0,8.4,277194
Coco,2017,BV,175000000.0,209726015.0,597400000.0,798008101.0,3.5600462914285718,623.008101,0.7401570373121972,Horror,98.0,7.4,35
Cars 3,2017,BV,175000000.0,152901115.0,231000000.0,383541369.0,1.1916649657142857,208.541369,0.6017174500782578,"Adventure,Animation,Comedy",102.0,6.8,59408
King Arthur: Legend of the Sword,2017,WB,175000000.0,39175066.0,109500000.0,139630336.0,-0.2021123657142857,-35.369664,0.7365054742938537,"Action,Adventure,Drama",126.0,6.8,169054
47 Ronin,2013,Uni.,175000000.0,38362475.0,113400000.0,151716815.0,-0.1330467714285714,-23.283185,0.7472202861741679,"Action,Adventure,Drama",128.0,6.3,135754
Jurassic World: Fallen Kingdom,2018,Uni.,170000000.0,417719760.0,891800000.0,1305772799.0,6.681016464705882,1135.772799,0.6810130150307927,"Action,Adventure,Sci-Fi",128.0,6.2,219125
Guardians of the Galaxy,2014,BV,170000000.0,333172112.0,440200000.0,770867516.0,3.5345148,600.867516,0.5691955957160245,"Action,Adventure,Comedy",121.0,8.1,948394
Iron Man 2,2010,Par.,170000000.0,312433331.0,311500000.0,621156389.0,2.653861111764706,451.156389,0.4992520587107407,"Action,Adventure,Sci-Fi",124.0,7.0,657690
Captain America: The Winter Soldier,2014,BV,170000000.0,259746958.0,454500000.0,714401889.0,3.2023640529411765,544.401889,0.6363345267478199,"Action,Adventure,Sci-Fi",136.0,7.8,666252
Dawn of the Planet of the Apes,2014,Fox,170000000.0,208545589.0,502100000.0,710644566.0,3.1802621529411765,540.644566,0.7065406551056493,"Action,Adventure,Drama",130.0,7.6,390199
Snow White and the Huntsman,2012,Uni.,170000000.0,155136755.0,241300000.0,401021746.0,1.3589514470588235,231.021746,0.608672119718062,"Action,Adventure,Drama",127.0,6.1,258938
Tomorrowland,2015,BV,170000000.0,93436322.0,115700000.0,206627518.0,0.2154559882352941,36.627518,0.5532276693667779,"Action,Adventure,Family",130.0,6.4,161343
Alice Through the Looking Glass,2016,BV,170000000.0,77042381.0,222400000.0,276928112.0,0.628988894117647,106.928112,0.742713837825114,"Adventure,Family,Fantasy",113.0,6.2,79951
Shrek Forever After,2010,P/DW,165000000.0,238736787.0,513900000.0,756244673.0,3.5833010484848486,591.244673,0.6827994709751013,"Adventure,Animation,Comedy",93.0,6.3,167532
Doctor Strange,2016,BV,165000000.0,232641920.0,445100000.0,676404566.0,3.099421612121212,511.404566,0.6567396627908157,"Action,Adventure,Fantasy",115.0,7.5,514510
Big Hero 6,2014,BV,165000000.0,222527828.0,435300000.0,652127828.0,2.952289866666667,487.127828,0.6617232982123098,"Action,Adventure,Animation",102.0,7.8,371204
How to Train Your Dragon,2010,P/DW,165000000.0,217581232.0,277300000.0,494870992.0,1.9992181333333332,329.870992,0.5603364647297839,"Action,Adventure,Animation",98.0,8.1,611299
Wreck-It Ralph,2012,BV,165000000.0,189412677.0,281800000.0,496511521.0,2.009160733333333,331.511521,0.5980314489713952,"Adventure,Animation,Comedy",101.0,7.7,344496
Interstellar,2014,Par.,165000000.0,188017894.0,489400000.0,666379375.0,3.038662878787879,501.379375,0.722449176992068,"Adventure,Drama,Sci-Fi",169.0,8.6,1299334
Independence Day: Resurgence,2016,Fox,165000000.0,103144286.0,286500000.0,384169424.0,1.3282995393939394,219.169424,0.7352860295762171,"Action,Adventure,Sci-Fi",120.0,5.2,155344
Aquaman,2018,WB,160000000.0,335061807.0,812700000.0,1146894640.0,6.1680915,986.89464,0.7080737440847776,"Action,Adventure,Fantasy",143.0,7.1,263328
Inception,2010,WB,160000000.0,292576195.0,535700000.0,835524642.0,4.2220290125,675.524642,0.6467649356987738,"Action,Adventure,Sci-Fi",148.0,8.8,1841066
The Hunger Games: Mockingjay - Part 2,2015,LGF,160000000.0,281723902.0,371700000.0,648986787.0,3.05616741875,488.986787,0.5688497143466906,"Action,Adventure,Sci-Fi",137.0,6.6,252384
X-Men: First Class,2011,Fox,160000000.0,146408305.0,207200000.0,355408305.0,1.22130190625,195.408305,0.5859590882629298,"Action,Adventure,Sci-Fi",131.0,7.7,608930
The Sorcerer's Apprentice,2010,BV,160000000.0,63150991.0,152100000.0,217986320.0,0.3624145,57.98632,0.7066169558308794,"Action,Adventure,Family",109.0,6.1,143862
Warcraft,2016,Uni.,160000000.0,47225655.0,386300000.0,425522281.0,1.65951425625,265.522281,0.8910660662054706,"Action,Adventure,Fantasy",123.0,6.9,225557
Deepwater Horizon,2016,LG/S,156000000.0,61433527.0,60400000.0,122603824.0,-0.2140780512820513,-33.396176,0.4957584458668754,"Action,Drama,History",107.0,7.1,133303
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Fox,155000000.0,104386950.0,311300000.0,418186950.0,1.6979803225806451,263.18695,0.748880858540303,"Adventure,Family,Fantasy",113.0,6.3,129663
War for the Planet of the Apes,2017,Fox,152000000.0,146880162.0,343800000.0,489592267.0,2.2210017565789477,337.592267,0.7006600768180231,"Action,Adventure,Drama",140.0,7.5,201943
