id,release_date,title,production_budget,domestic_gross,worldwide_gross,year,movie_id,runtime_minutes,genres,averagerating,numvotes,studio,foreign_gross,roi,profit_musd,intl_share
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,2011,tt1298650,136.0,"Action,Adventure,Fantasy",6.6,447624,BV,804600000.0,1.5466728567949342,635.063875,0.7694633230013803
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,2015,tt2395427,141.0,"Action,Adventure,Sci-Fi",7.3,665594,BV,946400000.0,3.2438413883847548,1072.413963,0.673399778347873
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,2018,tt4154756,149.0,"Action,Adventure,Sci-Fi",8.5,670926,BV,1369.5,5.827114,1748.1342,2.017480852123483e-06
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2017,tt0974015,120.0,"Action,Adventure,Fantasy",6.5,329135,WB,428900000.0,1.18648403,355.945209,0.6518987112339422
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2015,tt2379713,148.0,"Action,Adventure,Thriller",6.8,352504,Sony,680600000.0,1.9320697433333334,579.620923,0.7728170296352791
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,2012,tt1345836,164.0,"Action,Thriller",8.4,1387769,WB,636800000.0,2.9434149054545453,809.439099,0.5869453876138719
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,2018,tt3778644,135.0,"Action,Adventure,Fantasy",7.0,226243,BV,179200000.0,0.4296412618181818,118.151347,0.4560173411994425
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,2013,tt1210819,150.0,"Action,Adventure,Western",6.4,208827,BV,171200000.0,-0.05453776363636364,-14.997885,0.6571923609910039
14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,2012,tt0401729,132.0,"Action,Adventure,Sci-Fi",6.6,241792,BV,211100000.0,0.028284,7.7781,0.7428947823902292
15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,2010,tt0398286,100.0,"Adventure,Animation,Comedy",7.8,366366,BV,391000000.0,1.2556816923076923,326.47724,0.6606716923044231
17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,2016,tt3498820,147.0,"Action,Adventure,Sci-Fi",7.8,583507,BV,745200000.0,3.560277652,890.069413,0.6461546110862899
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,2016,tt2975590,151.0,"Action,Adventure,Fantasy",6.5,576909,WB,543300000.0,2.470001124,617.500281,0.6218664919509884
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,2012,tt0903624,169.0,"Adventure,Family,Fantasy",7.9,719629,WB (NL),718100000.0,3.068014272,767.003568,0.7032587315374066
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,2013,tt1170358,161.0,"Adventure,Fantasy",7.8,565563,WB (NL),700000000.0,2.84146742,710.366855,0.7304092335288452
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,2014,tt2310332,144.0,"Adventure,Fantasy",7.4,438621,WB (NL),700900000.0,2.782310484,695.577621,0.7331438206590761
23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,2017,tt4630562,136.0,"Action,Crime,Thriller",6.7,179774,Uni.,1010.0,3.939385068,984.846267,4.47366302531905e-06
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,2017,tt1790809,129.0,"Action,Adventure,Fantasy",6.6,228592,BV,622300000.0,2.4271353782608696,558.241137,0.782906272785963
29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,2013,tt0770828,143.0,"Action,Adventure,Sci-Fi",7.1,647288,WB,377000000.0,1.9688867466666666,442.999518,0.5643328034422948
31,2012-07-03,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,2012,tt0948470,136.0,"Action,Adventure,Sci-Fi",7.0,525632,Sony,495900000.0,2.444955759090909,537.890267,0.6542814853764533
32,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,2012,tt1440129,131.0,"Action,Adventure,Sci-Fi",5.8,225342,Uni.,237600000.0,0.4248987136363636,93.477717,0.7845898107672403
33,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,2017,tt3371366,154.0,"Action,Adventure,Sci-Fi",5.2,119007,Par.,475300000.0,1.7783103225806451,385.89334,0.7850116997711011
34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,2015,tt0369610,124.0,"Action,Adventure,Sci-Fi",7.0,539338,Uni.,1019.4,6.669092390697674,1433.854864,1.5628458001385411e-06
37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,2014,tt2109248,165.0,"Action,Adventure,Sci-Fi",5.7,283486,Par.,858600000.0,4.2573289333333335,894.039076,0.7776898650279295
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,2010,tt0955308,140.0,"Action,Adventure,Drama",6.6,239480,Uni.,216400000.0,0.5355190761904762,112.459006,0.6722853066503917
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,2018,tt1825683,134.0,"Action,Adventure,Sci-Fi",7.3,516148,BV,646900000.0,5.74129112,1148.258224,0.4802668293310892
44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,2018,tt3606756,118.0,"Action,Adventure,Animation",7.7,203510,BV,634200000.0,5.212603555,1042.520711,0.5103068202134775
45,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,2016,tt3748528,133.0,"Action,Adventure,Sci-Fi",7.8,478592,BV,523900000.0,4.24551428,849.102856,0.4960810994555546
46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,2016,tt2277860,97.0,"Adventure,Animation,Comedy",7.3,213542,BV,542300000.0,4.106075965,821.215193,0.5272237413437564
47,2010-06-18,Toy Story 3,200000000.0,415004880.0,1068879522.0,2010,tt0435761,103.0,"Adventure,Animation,Comedy",8.3,682218,BV,652000000.0,4.34439761,868.879522,0.6110562493397406
48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,2013,tt1300854,130.0,"Action,Adventure,Sci-Fi",7.2,692794,BV,805800000.0,5.07696136,1015.392272,0.6633232846249124
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,2012,tt1074638,143.0,"Action,Adventure,Thriller",7.8,592221,Sony,804200000.0,4.552634905,910.526981,0.7254454418810101
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,2013,tt1453405,104.0,"Adventure,Animation,Comedy",7.3,291887,BV,475700000.0,2.717941645,543.588329,0.6392199144525955
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,2014,tt1877832,132.0,"Action,Adventure,Sci-Fi",8.0,620079,Fox,513900000.0,2.739313875,547.862775,0.6871960442904282
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,2014,tt1872181,142.0,"Action,Adventure,Sci-Fi",6.6,388363,Sony,506100000.0,2.54498168,508.996336,0.7138686682481525
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,2011,tt1216475,106.0,"Adventure,Animation,Comedy",6.2,138914,BV,370700000.0,1.800776915,360.155383,0.6594315093790435
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,2018,tt4123430,134.0,"Adventure,Family,Fantasy",6.6,163151,WB,494100000.0,2.26110043,452.220086,0.7559023015689107
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,2011,tt1133985,114.0,"Action,Adventure,Sci-Fi",5.5,252281,WB,103300000.0,0.09767746,19.535492,0.46975647769626255
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,2011,tt1399103,154.0,"Action,Adventure,Sci-Fi",6.2,366409,P/DW,771400000.0,4.763028425641026,928.790543,0.686426847783146
66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,2013,tt1351685,114.0,"Adventure,Fantasy",6.3,123127,WB (NL),132500000.0,0.013782579487179487,2.687603,0.6702494136670776
67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,2015,tt2820852,137.0,"Action,Crime,Thriller",7.2,335074,Uni.,1163.0,6.9932778631578945,1328.722794,3.294541191981377e-06
68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,2013,tt1408101,132.0,"Action,Adventure,Sci-Fi",7.7,445535,Par.,238600000.0,1.4599030736842105,277.381584,0.5105068329167899
